# Part Number, Outside Diameter (mm), Hole Diameter (mm), Rod Diameter (mm), Free Length (mm), Rate (N/mm), Solid Height (mm), Wire Diameter (mm), Material
part_number,outside_diameter,hole_diameter,rod_diameter,free_length,rate,solid_height,wire_diameter,material
LC 022BC 05S,5.33,5.56,4.01,15.88,1.016,5.31,0.56,SS
LC 022BC 06S,5.33,5.56,4.01,17.48,0.911,5.82,0.56,SS
LC 022BC 07S,5.33,5.56,4.01,19.05,0.823,6.25,0.56,SS
LC 022BC 08S,5.33,5.56,4.01,20.65,0.771,6.71,0.56,SS
LC 022BC 058316,5.33,5.56,4.01,15.88,1.016,5.31,0.56,SS316
LC 022BC 068316,5.33,5.56,4.01,17.48,0.911,5.82,0.56,SS316
LC 022BC 078316,5.33,5.56,4.01,19.05,0.823,6.25,0.56,SS316
LC 022BC 088316,5.33,5.56,4.01,20.65,0.771,6.71,0.56,SS316
LCM060C 08 S,5.99,6.4,4.39,17,1.044,5.26,0.61,SS
LCM080C 07 S,5.99,6.4,4.01,15.5,4.089,6.5,0.81,SS
LCM060C 10 S,5.99,6.4,4.39,25,0.694,7.34,0.61,SS
LCM080C 09 S,5.99,6.4,4.01,19,3.266,7.75,0.81,SS
LCM060C 07 S,5.99,6.4,4.39,15.5,1.154,4.88,0.61,SS
LCM060C 09 S,5.99,6.4,4.39,19,0.928,5.79,0.61,SS
LCM080C 08 S,5.99,6.4,4.01,17,3.691,7.04,0.81,SS
LCM060C 11 S,5.99,6.4,4.39,27.5,0.627,7.98,0.61,SS
LC 026C 07 S316,6.1,6.35,4.55,19.05,1.454,5.97,0.66,SS316
LC 022C 08 S,6.1,6.35,4.75,20.65,0.736,5.05,0.56,SS
LC 029C 08 S,6.1,6.35,4.42,20.65,2.049,7.87,0.74,SS
LC 026C 05 S,6.1,6.35,4.55,15.88,1.821,5.16,0.66,SS
LC 022C 06 S,6.1,6.35,4.75,17.48,0.876,4.5,0.56,SS
LC 026C 10 S316,6.1,6.35,4.55,25.4,1.086,7.62,0.66,SS316
LC 024C 09 S,6.1,6.35,4.65,22.23,0.963,6.1,0.61,SS
LC 032C 06 S316,6.1,6.35,4.27,15.88,4.081,6.93,0.81,SS316
LC 035C 06 S316,6.1,6.35,4.11,15.88,5.832,7.95,0.89,SS316
LC 022C 07 S,6.1,6.35,4.75,19.05,0.806,4.78,0.56,SS
LC 024C 10 S,6.1,6.35,4.65,25.4,0.858,6.81,0.61,SS
LC 032C 07 S316,6.1,6.35,4.27,17.48,3.643,7.54,0.81,SS316
LC 022C 08 S,6.1,6.35,4.75,20.65,0.613,5.05,0.56,SS
LC 026C 05 S,6.1,6.35,4.55,15.88,1.821,5.16,0.66,SS
LC 026C 05 S316,6.1,6.35,4.55,15.88,1.821,5.16,0.66,SS316
LC 022C 09 S,6.1,6.35,4.75,25.4,0.613,5.72,0.56,SS
LC 026C 06 S316,6.1,6.35,4.55,17.48,1.611,5.64,0.66,SS316
LC 024C 05 S,6.1,6.35,4.65,15.88,1.419,4.7,0.61,SS
LC 029C 05 S,6.1,6.35,4.42,15.88,2.697,6.32,0.74,SS
LC 026C 07 S316,6.1,6.35,4.55,19.05,1.454,5.97,0.66,SS316
LC 024C 06 S,6.1,6.35,4.65,17.48,1.313,5.05,0.61,SS
LC 029C 06 S,6.1,6.35,4.42,17.48,2.452,6.81,0.74,SS
LC 026C 08 S316,6.1,6.35,4.55,20.65,1.313,6.6,0.66,SS316
LC 024C 07 S,6.1,6.35,4.65,19.05,1.173,5.41,0.61,SS
LC 029C 08 S,6.1,6.35,4.42,20.65,2.049,7.87,0.74,SS
LC 032C 06 S,6.1,6.35,4.27,15.88,4.081,6.93,0.81,SS
LC 029C 08 S316,6.1,6.35,4.42,20.65,2.049,7.87,0.74,SS316
LC 035C 06 S,6.1,6.35,4.11,15.88,5.832,7.95,0.89,SS
LC 022C 05 S316,6.1,6.35,4.75,15.88,1.016,3.94,0.56,SS316
LC 026C 10 S,6.1,6.35,4.55,25.4,1.086,7.62,0.66,SS
LC 024C 08 S316,6.1,6.35,4.65,20.65,1.068,5.74,0.61,SS316
LC 032C 07 S,6.1,6.35,4.27,17.48,3.643,7.54,0.81,SS
LC 022C 06 S316,6.1,6.35,4.75,17.48,0.876,4.5,0.56,SS316
LC 024C 09 S316,6.1,6.35,4.65,22.23,0.963,6.1,0.61,SS316
LC 022C 07 S316,6.1,6.35,4.75,19.05,0.806,4.78,0.56,SS316
LC 024C 10 S316,6.1,6.35,4.65,25.4,0.858,6.81,0.61,SS316
LC 022C 08 S316,6.1,6.35,4.75,20.65,0.736,5.05,0.56,SS316
LC 026C 06 S,6.1,6.35,4.55,17.48,1.611,5.64,0.66,SS
LC 022C 09 S316,6.1,6.35,4.75,25.4,0.613,5.72,0.56,SS316
LC 029C 05 S316,6.1,6.35,4.42,15.88,2.697,6.32,0.74,SS316
LC 026C 07 S,6.1,6.35,4.55,19.05,1.454,5.97,0.66,SS
LC 024C 05 S316,6.1,6.35,4.65,15.88,1.419,4.7,0.61,SS316
LC 029C 06 S316,6.1,6.35,4.42,17.48,2.452,6.81,0.74,SS316
LC 026C 08 S,6.1,6.35,4.55,20.65,1.313,6.6,0.66,SS
LC 024C 06 S316,6.1,6.35,4.65,17.48,1.313,5.05,0.61,SS316
LC 026C 06 S,6.1,6.35,4.55,17.48,1.611,5.64,0.66,SS
LC 029C 05 S316,6.1,6.35,4.42,15.88,2.697,6.32,0.74,SS316
LC 024C 07 S316,6.1,6.35,4.65,19.05,1.173,5.41,0.61,SS316
LC 026CD 08S316,6.35,6.76,4.78,20.65,1.424,5.61,0.66,SS316
LC 026CD 09S316,6.35,6.76,4.78,22.23,1.31,5.98,0.66,SS316
LC 026CD 10S316,6.35,6.76,4.78,23.83,1.21,6.36,0.66,SS316
LC 026CD 11S316,6.35,6.76,4.78,25.4,1.08,6.84,0.66,SS316
LC 026CD 05S316,6.35,6.76,4.78,15.88,1.923,4.51,0.66,SS316
LC 026CD 06S316,6.35,6.76,4.78,17.48,1.723,4.87,0.66,SS316
LC 026CD 07S316,6.35,6.76,4.78,19.05,1.561,9.23,0.66,SS316
LC 026CD 09S,6.35,6.76,4.78,22.23,1.31,5.98,0.66,SS
LC 026CD 10S,6.35,6.76,4.78,23.83,1.21,6.36,0.66,SS
LC 026CD 11S,6.35,6.76,4.78,25.4,1.08,6.84,0.66,SS
LC 026CD 05S,6.35,6.76,4.78,15.88,1.923,4.51,0.66,SS
LC 026CD 06S,6.35,6.76,4.78,17.48,1.723,4.87,0.66,SS
LC 026CD 07S,6.35,6.76,4.78,19.05,1.561,9.23,0.66,SS
LC 026CD 08 S,6.35,6.76,4.78,20.65,1.424,5.61,0.66,SS
LCM063CF 02 S,6.93,7.6,5.1,17,0.987,4.725,0.63,SS
LCM063CF 03 S,6.93,7.6,5.1,25.5,0.639,6.615,0.63,SS
LCM080CG 02S,7.1,7.7,5,15.5,2.567,6,0.8,SS
LC 028CE 07S,7.14,7.95,5.51,15.88,1.471,5.59,0.71,SS
LC 028CE 08S,7.14,7.95,5.51,19.05,1.206,6.5,0.71,SS
LC 028CE 09S,7.14,7.95,5.51,22.23,1.022,7.4,0.71,SS
LC 028CE 078316,7.14,7.95,5.51,15.88,1.471,5.59,0.71,SS316
LC 028CE 088316,7.14,7.95,5.51,19.05,1.206,6.5,0.71,SS316
LC 028CE 098316,7.14,7.95,5.51,22.23,1.022,7.4,0.71,SS316
LCM080D 05 S,7.49,8,5.41,15.5,2.673,5.11,0.81,SS
LCM065D 05 S,7.49,8,5.69,15.5,1.312,3.66,0.66,SS
LCM065D 06 S,7.49,8,5.69,17,1.186,3.91,0.66,SS
LCM080D 07 S,7.49,8,5.41,19,2.136,5.99,0.81,SS
LCM065D 08 S,7.49,8,5.69,21,0.945,4.6,0.66,SS
LCM080D 09 S,7.49,8,5.41,23,1.736,7.01,0.81,SS
LCM065D 10 S,7.49,8,5.69,25,0.786,5.26,0.66,SS
LCM095D 05 S,7.49,8,5.11,15.5,5.048,6.6,0.94,SS
LCM065D 12 S,7.49,8,5.69,30,0.649,6.1,0.66,SS
LCM095D 07 S,7.49,8,5.11,19,4.015,7.8,0.94,SS
LCM080D 06 S,7.49,8,5.41,17,2.413,5.49,0.81,SS
LCM065D 07 S,7.49,8,5.69,19,1.053,4.24,0.66,SS
LCM080D 08 S,7.49,8,5.41,21,1.915,6.5,0.81,SS
LCM065D 09 S,7.49,8,5.69,23,0.859,4.93,0.66,SS
LCM080D 10 S,7.49,8,5.41,25,1.589,7.52,0.81,SS
LCM065D 11 S,7.49,8,5.69,27.5,0.711,5.66,0.66,SS
LCM095D 06 S,7.49,8,5.11,17,4.546,7.11,0.94,SS
LC 040D 06 S,7.62,7.95,5.31,17.48,5.692,7.98,1.02,SS
LC 030D 05 S,7.62,7.95,5.79,17.48,1.751,5.41,0.76,SS
LC 035D 05 S316,7.62,7.95,5.54,15.88,3.678,6.22,0.89,SS316
LC 032D 04 S316,7.62,7.95,5.69,15.88,2.627,5.51,0.81,SS316
LC 030D 06 S,7.62,7.95,5.79,19.05,1.611,5.87,0.76,SS
LC 035D 06 S316,7.62,7.95,5.54,17.48,3.31,6.73,0.89,SS316
LC 032D 05 S316,7.62,7.95,5.69,17.48,2.329,6.12,0.81,SS316
LC 030D 07 S,7.62,7.95,5.79,20.65,1.454,6.25,0.76,SS
LC 035D 07 S316,7.62,7.95,5.54,19.05,2.995,7.21,0.89,SS316
LC 032D 06 S316,7.62,7.95,5.69,19.05,2.189,6.32,0.81,SS316
LC 030D 08 S,7.62,7.95,5.79,22.23,1.349,6.63,0.76,SS
LC 035D 08 S316,7.62,7.95,5.54,20.65,2.75,7.72,0.89,SS316
LC 026D 04 S316,7.62,7.95,5.94,15.88,1.313,3.84,0.66,SS316
LC 026D 07 S,7.62,7.95,5.94,20.65,1.016,4.65,0.66,SS
LC 030D 08 S316,7.62,7.95,5.79,22.23,1.349,6.63,0.76,SS316
LC 038D 05 S,7.62,7.95,5.38,15.88,5.114,6.78,0.97,SS
LC 038D 07 S,7.62,7.95,5.38,19.05,4.081,8,0.97,SS
LC 035D 05 S316,7.62,7.95,5.54,15.88,3.678,6.22,0.89,SS316
LC 030D 06 S,7.62,7.95,5.79,19.05,1.611,5.87,0.76,SS
LC 040D 05 S,7.62,7.95,5.31,15.88,6.427,7.37,1.02,SS
LC 032D 04 S316,7.62,7.95,5.69,15.88,2.627,5.51,0.81,SS316
LC 035D 06 S316,7.62,7.95,5.54,17.48,3.31,6.73,0.89,SS316
LC 030D 07 S,7.62,7.95,5.79,20.65,1.454,6.25,0.76,SS
LC 040D 06 S,7.62,7.95,5.31,17.48,5.692,7.98,1.02,SS
LC 032D 05 S316,7.62,7.95,5.69,17.48,2.329,6.12,0.81,SS316
LC 035D 07 S316,7.62,7.95,5.54,19.05,2.995,7.21,0.89,SS316
LC 030D 08 S,7.62,7.95,5.79,22.23,1.349,6.63,0.76,SS
LC 026D 07 S,7.62,7.95,5.94,20.65,1.016,4.65,0.66,SS
LC 032D 06 S316,7.62,7.95,5.69,19.05,2.189,6.32,0.81,SS316
LC 035D 08 S316,7.62,7.95,5.54,20.65,2.75,7.72,0.89,SS316
LC 030D 09 S,7.62,7.95,5.79,23.83,1.261,7.01,0.76,SS
LC 026D 08 S316,7.62,7.95,5.94,22.23,0.876,5.23,0.66,SSS316
LC 032D 08 S,7.62,7.95,5.69,22.23,1.751,7.34,0.81,SS
LC 026D 04 S,7.62,7.95,5.94,15.88,1.313,3.84,0.66,SS
LC 030D 10 S,7.62,7.95,5.79,25.4,1.173,7.39,0.76,SS
LC 026D 09 S316,7.62,7.95,5.94,23.83,0.806,5.31,0.66,SS316
LC 032D 05 S,7.62,7.95,5.69,17.48,2.329,6.12,0.81,SS
LC 035D 07 S,7.62,7.95,5.54,19.05,2.995,7.21,0.89,SS
LC 030D 07 S316,7.62,7.95,5.79,20.65,1.454,6.25,0.76,SS316
LC 032D 06 S,7.62,7.95,5.69,19.05,2.189,6.32,0.81,SS
LC 035D 08 S,7.62,7.95,5.54,20.65,2.75,7.72,0.89,SS
LC 026D 07 S316,7.62,7.95,5.94,20.65,1.016,4.65,0.66,SS316
LC 032D 07 S,7.62,7.95,5.69,20.65,1.961,6.73,0.81,SS
LC 030D 09 S,7.62,7.95,5.79,23.83,1.261,7.01,0.76,SS
LC 038D 05 S316,7.62,7.95,5.38,15.88,5.114,6.78,0.97,SS316
LC 026D 08 S316,7.62,7.95,5.94,22.23,0.876,5.23,0.66,SS316
LC 032D 08 S,7.62,7.95,5.69,22.23,1.751,7.34,0.81,SS
LC 030D 10 S,7.62,7.95,5.79,25.4,1.173,7.39,0.76,SS
LC 038D 06 S316,7.62,7.95,5.38,17.48,4.378,7.52,0.97,SS316
LC 026D 09 S316,7.62,7.95,5.94,23.83,0.806,5.31,0.66,SS316
LC 032D 09 S,7.62,7.95,5.69,23.83,1.611,7.95,0.81,SS
LC 038D 07 S316,7.62,7.95,5.38,19.05,4.081,8,0.97,SS316
LC 026D 10 S316,7.62,7.95,5.94,25.4,0.736,5.82,0.66,SS316
LC 030D 04 S316,7.62,7.95,5.79,15.88,1.944,5.03,0.76,SS316
LC 026D 04 S,7.62,7.95,5.94,15.88,1.313,3.84,0.66,SS
LC 040D 05 S316,7.62,7.95,5.31,15.88,6.427,7.37,1.02,SS316
LC 030D 09 S,7.62,7.95,5.79,23.83,1.261,7.01,0.76,SS 
LC 032D 08 S,7.62,7.95,5.69,22.23,1.751,7.34,0.81,SS




